,id,data_pas,ndvi,nbrl,dif_ndvi,dif_dnbrl,medianb4,medianb5,medianb6,medianb7,auditoria,mirbi,ndwi,data,log_bai,log_area,log_focos,log_adjac,KNN_1,KNN_3,KNN,RF_1,RF_3,RF,NN_1,NN_3,NN,ST_1,ST_3,ST
1500,37522761,2017/10/10 00:00:00.000,0.133354038,0.00402270210907,0.286948025227,0.350747227669,0.24633154273,0.320021420717,0.347776472569,0.319558084011,3,1.78737140894,-0.163664556904,2017-10-10,-2.7373633470126113,-0.20779681489717164,0.0,0.0,0.0,1.0,3,0.08333333333333333,0.9166666666666665,3,0.0001615612346699269,0.9998384387653301,3,0.012430520685267177,0.9875694793147328,3
1501,37523128,2017/10/10 00:00:00.000,0.151499554515,-0.114807844162,0.191633105278,0.292290270329,0.08705994486810001,0.12029761076,0.17714250087699998,0.15015965700099998,1,1.7656000614200005,-0.320342048727,2017-10-10,-0.6419685600454673,5.542796725045098,3.044522437723423,0.0,1.0,0.0,1,1.0,0.0,1,0.998975892131487,0.001024107868513003,1,0.9848666025572792,0.015133397442720749,1
1502,37523115,2017/10/10 00:00:00.000,0.220152154565,2.9782118871999995e-05,0.138963118196,0.261292487383,0.100518271327,0.160418868065,0.208405539393,0.159117162228,1,1.54879733622,-0.36374793616,2017-10-10,-1.1643608355074713,7.485471930003249,5.147494476813453,0.0,1.0,0.0,1,1.0,0.0,1,0.9904055036566756,0.009594496343324477,1,0.9834803635345745,0.016519636465425588,1
1503,37522756,2017/10/10 00:00:00.000,0.255775868893,0.053193263709500005,0.154211118817,0.191833004355,0.124081388116,0.216623932123,0.253038644791,0.187026649714,1,1.39048777819,-0.340188726673,2017-10-10,-1.7470585010935737,4.387060388151958,1.3862943611198906,0.0,0.6666666666666666,0.3333333333333333,1,0.704861111111111,0.2951388888888889,1,0.7347261614729339,0.26527383852706604,1,0.8134586261392277,0.18654137386077232,1
1504,37526191,2017/10/10 00:00:00.000,0.330306470394,0.0426511242986,0.101732507348,0.222964257002,0.09549897909160003,0.187644407153,0.255553811789,0.17892958223799998,1,1.28486846685,-0.438658583915,2017-10-10,-1.393884633870829,-0.612793721827444,1.791759469228055,0.0,0.3333333333333333,0.6666666666666666,3,0.2708333333333333,0.7291666666666666,3,0.3719830343479211,0.6280169656520789,3,0.08714970938643418,0.9128502906135658,3
1505,37525361,2017/10/10 00:00:00.000,0.334386825562,0.000161953270435,0.0841129571199,0.213654220104,0.0956644490361,0.183673098683,0.257550477982,0.190016165376,1,1.37616696954,-0.438375989096,2017-10-10,-1.3585666728405739,-0.612117724855338,2.0794415416798357,0.0,0.6666666666666666,0.3333333333333333,1,0.28472222222222227,0.7152777777777778,3,0.484460638615521,0.515539361384479,3,0.12451139018293256,0.8754886098170674,3
1506,37525542,2017/10/10 00:00:00.000,0.326967149973,0.281092703342,0.284042358398,0.344460368156,0.139481246471,0.279425799847,0.237914577127,0.15446190535999998,3,1.21305619776,-0.217958486659,2017-10-10,-2.214049586486943,-0.612679005098666,1.6094379124341003,0.0,0.3333333333333333,0.6666666666666666,3,0.0625,0.9375,3,0.08490133097992403,0.915098669020076,3,0.013691746336038646,0.9863082536639614,3
1507,37523089,2017/10/10 00:00:00.000,0.199480444193,0.08706167340280001,0.188206017017,0.154372245073,0.232928365469,0.348802387714,0.389883369207,0.292950332165,3,1.10864630342,-0.243749198432,2017-10-10,-2.816668602999458,-0.6128469530782503,0.0,0.0,0.0,1.0,3,0.0,1.0,3,2.727752465858657e-05,0.9999727224753414,3,0.006935656742220742,0.9930643432577793,3
1508,37522509,2017/10/10 00:00:00.000,0.334722995758,0.26848161220600003,0.29623287916200003,0.315615177155,0.189530774951,0.380550801754,0.315156549215,0.220220178366,3,1.11366760135,-0.239893227466,2017-10-10,-2.847925773247759,0.07904711214658906,0.0,0.0,0.0,1.0,3,0.0,1.0,3,1.4471632714396776e-05,0.9999855283672856,3,0.006930391485330145,0.9930696085146699,3
1509,37522750,2017/10/10 00:00:00.000,0.208836853504,0.142063885927,0.263712584972,0.228297650814,0.150292024016,0.227754637599,0.232442989945,0.17070016264899998,3,1.42906032503,-0.210072898836,2017-10-10,-1.9294463804923037,-0.6126913411386211,0.0,0.0,0.0,1.0,3,0.0,1.0,3,0.005866777372226517,0.9941332226277735,3,0.00716184176938095,0.992838158230619,3
1510,37525117,2017/10/10 00:00:00.000,0.262943506241,0.126334607601,0.181900173426,0.201468795538,0.0954107269645,0.162911981344,0.184831395745,0.123607032001,1,1.42472264171,-0.308319992013,2017-10-10,-1.1605337059845526,-0.6129343395069901,2.3978952727983707,0.0,0.6666666666666666,0.3333333333333333,1,0.7638888888888888,0.23611111111111113,1,0.9141565624024366,0.08584343759756342,1,0.9032684383799683,0.09673156162003171,1
